ClientId,ClientName,Industry,Country
CLI-0013,Williams-Ewing Energy Group,Marine,Bulgaria
CLI-0014,"Gordon, Lucas and Hawkins Resources",Chemical Processing,Slovakia (Slovak Republic)
CLI-0002,Green-Bradley Enterprises,Construction,Uruguay
CLI-0009,"Roth, Sutton and Brady Group",Chemical Processing,Pitcairn Islands
CLI-0016,Gonzales-Thompson Steel Group,Chemical Processing,Macao
CLI-0007,Stewart-Ray Enterprises,Steel Manufacturing,Austria
CLI-0020,Shannon-Young Group,Marine,Bhutan
CLI-0005,Morales-Nelson Group,Marine,Libyan Arab Jamahiriya
CLI-0008,Kelly-Whitaker Enterprises,Chemical Processing,Niue
CLI-0006,Briggs Group Energy Group,Defence,Netherlands Antilles
CLI-0010,Hamilton-Jackson Steel Group,Energy,Italy
CLI-0004,"Doyle, Miller and Garcia Energy Group",Construction,Hong Kong
CLI-0003,Alvarado Inc Steel Group,Marine,Macao
CLI-0012,Lawrence-Mann Group,Defence,Iraq
CLI-0018,Alvarez PLC Enterprises,Defence,Norway
CLI-0001,"Thornton, Daniels and Dunlap Group",Steel Manufacturing,Isle of Man
CLI-0015,Holden-Gomez Resources,Energy,Afghanistan
CLI-0017,Taylor Inc Resources,Construction,Mayotte
CLI-0019,Everett Group Corporation,Steel Manufacturing,Cuba
CLI-0011,"Shepherd, Jordan and Jennings Enterprises",Chemical Processing,Haiti
