Date,Year,YearLabel,YearLabelShort,QuarterNumber,QuarterLabel,QuarterLabelShort,QuarterYearLabel,MonthNumber,MonthName,MonthNameShort,MonthYearLabel,WeekStart,WeekStartLabel,WeekStartNumber,WeekEnd,WeekEndLabel,WeekEndNumber,DayOfYearNumber,DayOfMonthNumber,WeekdayNumberMonSun,WeekdayNumberSunMon,DateLabel,WeekdayName,WeekdayNameShort,FinYear,FinYearLabel,FinYearLabelShort,FinQuarterNumber,FinQuarterLabel,FinQuarterLabelShort,FinQuarterYearLabel,FinMonthNumber,QuarterKey,MonthKey,WeekStartKey,WeekEndKey,DateKey,FinQuarterKey,FinMonthKey,IsCurrentYear,IsCurrentMonth,IsCurrentWeek,IsCurrentFinYear,IsWeekend,IsToday,IsTomorrow,IsYesterday
2010-07-02 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",7,"July","Jul","Jul-10",2010-06-28 00:00:00.000,"28-Jun-10",27,2010-07-04 00:00:00.000,"4-Jul-10",27,183,2,5,6,"2-Jul-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",1,"201003","201007","20100628","20100704","20100702","201101","201101","N","N","N","Y","N","N","N","N"
2010-07-09 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",7,"July","Jul","Jul-10",2010-07-05 00:00:00.000,"5-Jul-10",28,2010-07-11 00:00:00.000,"11-Jul-10",28,190,9,5,6,"9-Jul-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",1,"201003","201007","20100705","20100711","20100709","201101","201101","N","N","N","Y","N","N","N","N"
2010-07-16 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",7,"July","Jul","Jul-10",2010-07-12 00:00:00.000,"12-Jul-10",29,2010-07-18 00:00:00.000,"18-Jul-10",29,197,16,5,6,"16-Jul-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",1,"201003","201007","20100712","20100718","20100716","201101","201101","N","N","N","Y","N","N","N","N"
2010-07-23 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",7,"July","Jul","Jul-10",2010-07-19 00:00:00.000,"19-Jul-10",30,2010-07-25 00:00:00.000,"25-Jul-10",30,204,23,5,6,"23-Jul-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",1,"201003","201007","20100719","20100725","20100723","201101","201101","N","N","N","Y","N","N","N","N"
2010-07-30 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",7,"July","Jul","Jul-10",2010-07-26 00:00:00.000,"26-Jul-10",31,2010-08-01 00:00:00.000,"1-Aug-10",31,211,30,5,6,"30-Jul-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",1,"201003","201007","20100726","20100801","20100730","201101","201101","N","N","N","Y","N","N","N","N"
2010-08-06 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",8,"August","Aug","Aug-10",2010-08-02 00:00:00.000,"2-Aug-10",32,2010-08-08 00:00:00.000,"8-Aug-10",32,218,6,5,6,"6-Aug-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",2,"201003","201008","20100802","20100808","20100806","201101","201102","N","N","N","Y","N","N","N","N"
2010-08-13 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",8,"August","Aug","Aug-10",2010-08-09 00:00:00.000,"9-Aug-10",33,2010-08-15 00:00:00.000,"15-Aug-10",33,225,13,5,6,"13-Aug-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",2,"201003","201008","20100809","20100815","20100813","201101","201102","N","N","N","Y","N","N","N","N"
2010-08-20 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",8,"August","Aug","Aug-10",2010-08-16 00:00:00.000,"16-Aug-10",34,2010-08-22 00:00:00.000,"22-Aug-10",34,232,20,5,6,"20-Aug-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",2,"201003","201008","20100816","20100822","20100820","201101","201102","N","N","N","Y","N","N","N","N"
2010-08-27 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",8,"August","Aug","Aug-10",2010-08-23 00:00:00.000,"23-Aug-10",35,2010-08-29 00:00:00.000,"29-Aug-10",35,239,27,5,6,"27-Aug-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",2,"201003","201008","20100823","20100829","20100827","201101","201102","N","N","N","Y","N","N","N","N"
2010-09-03 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",9,"September","Sep","Sep-10",2010-08-30 00:00:00.000,"30-Aug-10",36,2010-09-05 00:00:00.000,"5-Sep-10",36,246,3,5,6,"3-Sep-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",3,"201003","201009","20100830","20100905","20100903","201101","201103","N","N","N","Y","N","N","N","N"
2010-09-10 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",9,"September","Sep","Sep-10",2010-09-06 00:00:00.000,"6-Sep-10",37,2010-09-12 00:00:00.000,"12-Sep-10",37,253,10,5,6,"10-Sep-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",3,"201003","201009","20100906","20100912","20100910","201101","201103","N","N","N","Y","N","N","N","N"
2010-09-17 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",9,"September","Sep","Sep-10",2010-09-13 00:00:00.000,"13-Sep-10",38,2010-09-19 00:00:00.000,"19-Sep-10",38,260,17,5,6,"17-Sep-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",3,"201003","201009","20100913","20100919","20100917","201101","201103","N","N","N","Y","N","N","N","N"
2010-09-24 00:00:00.000,2010,"CY 2010","CY 10",3,"Quarter 3","Q3","Q3, CY 10",9,"September","Sep","Sep-10",2010-09-20 00:00:00.000,"20-Sep-10",39,2010-09-26 00:00:00.000,"26-Sep-10",39,267,24,5,6,"24-Sep-10","Friday","Fri",2011,"FY 2011","FY 11",1,"Quarter 1","Q1","Q1, FY 11",3,"201003","201009","20100920","20100926","20100924","201101","201103","N","N","N","Y","N","N","N","N"
2011-07-01 00:00:00.000,2011,"CY 2011","CY 11",3,"Quarter 3","Q3","Q3, CY 11",7,"July","Jul","Jul-11",2011-06-27 00:00:00.000,"27-Jun-11",27,2011-07-03 00:00:00.000,"3-Jul-11",27,182,1,5,6,"1-Jul-11","Friday","Fri",2012,"FY 2012","FY 12",1,"Quarter 1","Q1","Q1, FY 12",1,"201103","201107","20110627","20110703","20110701","201201","201201","N","N","N","Y","N","N","N","N"
2011-07-08 00:00:00.000,2011,"CY 2011","CY 11",3,"Quarter 3","Q3","Q3, CY 11",7,"July","Jul","Jul-11",2011-07-04 00:00:00.000,"4-Jul-11",28,2011-07-10 00:00:00.000,"10-Jul-11",28,189,8,5,6,"8-Jul-11","Friday","Fri",2012,"FY 2012","FY 12",1,"Quarter 1","Q1","Q1, FY 12",1,"201103","201107","20110704","20110710","20110708","201201","201201","N","N","N","Y","N","N","N","N"
2011-07-15 00:00:00.000,2011,"CY 2011","CY 11",3,"Quarter 3","Q3","Q3, CY 11",7,"July","Jul","Jul-11",2011-07-11 00:00:00.000,"11-Jul-11",29,2011-07-17 00:00:00.000,"17-Jul-11",29,196,15,5,6,"15-Jul-11","Friday","Fri",2012,"FY 2012","FY 12",1,"Quarter 1","Q1","Q1, FY 12",1,"201103","201107","20110711","20110717","20110715","201201","201201","N","N","N","Y","N","N","N","N"
2011-07-22 00:00:00.000,2011,"CY 2011","CY 11",3,"Quarter 3","Q3","Q3, CY 11",7,"July","Jul","Jul-11",2011-07-18 00:00:00.000,"18-Jul-11",30,2011-07-24 00:00:00.000,"24-Jul-11",30,203,22,5,6,"22-Jul-11","Friday","Fri",2012,"FY 2012","FY 12",1,"Quarter 1","Q1","Q1, FY 12",1,"201103","201107","20110718","20110724","20110722","201201","201201","N","N","N","Y","N","N","N","N"
2011-07-29 00:00:00.000,2011,"CY 2011","CY 11",3,"Quarter 3","Q3","Q3, CY 11",7,"July","Jul","Jul-11",2011-07-25 00:00:00.000,"25-Jul-11",31,2011-07-31 00:00:00.000,"31-Jul-11",31,210,29,5,6,"29-Jul-11","Friday","Fri",2012,"FY 2012","FY 12",1,"Quarter 1","Q1","Q1, FY 12",1,"201103","201107","20110725","20110731","20110729","201201","201201","N","N","N","Y","N","N","N","N"
2011-08-05 00:00:00.000,2011,"CY 2011","CY 11",3,"Quarter 3","Q3","Q3, CY 11",8,"August","Aug","Aug-11",2011-08-01 00:00:00.000,"1-Aug-11",32,2011-08-07 00:00:00.000,"7-Aug-11",32,217,5,5,6,"5-Aug-11","Friday","Fri",2012,"FY 2012","FY 12",1,"Quarter 1","Q1","Q1, FY 12",2,"201103","201108","20110801","20110807","20110805","201201","201202","N","N","N","Y","N","N","N","N"
2011-08-12 00:00:00.000,2011,"CY 2011","CY 11",3,"Quarter 3","Q3","Q3, CY 11",8,"August","Aug","Aug-11",2011-08-08 00:00:00.000,"8-Aug-11",33,2011-08-14 00:00:00.000,"14-Aug-11",33,224,12,5,6,"12-Aug-11","Friday","Fri",2012,"FY 2012","FY 12",1,"Quarter 1","Q1","Q1, FY 12",2,"201103","201108","20110808","20110814","20110812","201201","201202","N","N","N","Y","N","N","N","N"
2011-08-19 00:00:00.000,2011,"CY 2011","CY 11",3,"Quarter 3","Q3","Q3, CY 11",8,"August","Aug","Aug-11",2011-08-15 00:00:00.000,"15-Aug-11",34,2011-08-21 00:00:00.000,"21-Aug-11",34,231,19,5,6,"19-Aug-11","Friday","Fri",2012,"FY 2012","FY 12",1,"Quarter 1","Q1","Q1, FY 12",2,"201103","201108","20110815","20110821","20110819","201201","201202","N","N","N","Y","N","N","N","N"
