EquipmentId,EquipmentType,EquipmentName,Manufacturer,SiteId,Status,FuelType,FirstCommissionedDate,LastMaintenanceDate,NextMaintenanceDate
EQP-0865,Dump Truck,DT782,Sandvik,SIT-0010,Active,Electric,2019-08-08,2019-08-08,2020-02-04
EQP-0395,Mobile Crane,MC040,Scania,SIT-0007,Decommissioned,Diesel,2022-03-10,2022-03-10,2022-09-06
EQP-0777,Dump Truck,DT667,Atlas Copco,SIT-0009,Active,Hybrid,2019-10-11,2020-04-08,2020-10-05
EQP-0912,Wheel Loader,WL757,Sandvik,SIT-0005,Decommissioned,Electric,2020-02-04,2020-08-02,2021-01-29
EQP-0431,Crusher,CR323,Komatsu,SIT-0005,In Transit,Hybrid,2022-04-17,2022-10-14,2023-04-12
EQP-0042,Forklift,FO603,Sandvik,SIT-0003,In Transit,Diesel,2023-11-11,2023-11-11,2024-05-09
EQP-0266,Grader,GR158,Hyundai,SIT-0003,Active,Diesel,2022-12-01,2022-12-01,2023-05-30
EQP-0989,Excavator,EX152,Liebherr,SIT-0007,Decommissioned,Diesel,2019-08-06,2019-08-06,2020-02-02
EQP-0524,Mobile Crane,MC314,Sandvik,SIT-0006,Decommissioned,Diesel,2016-09-07,2017-03-06,2017-09-02
EQP-0498,Wheel Loader,WL491,Atlas Copco,SIT-0002,Active,Hybrid,2018-01-08,2018-01-08,2018-07-07
EQP-0415,Haul Truck,HT998,Hyundai,SIT-0001,Under Maintenance,Diesel,2018-08-08,2018-08-08,2019-02-04
EQP-0941,Light Vehicle,LV770,Atlas Copco,SIT-0002,Active,Diesel,2017-05-13,2017-05-13,2017-11-09
EQP-0803,Drill Rig,DR173,Hitachi,SIT-0001,Under Maintenance,Diesel,2020-04-17,2020-10-14,2021-04-12
EQP-0850,Grader,GR149,Caterpillar,SIT-0009,In Transit,Hybrid,2019-02-13,2019-08-12,2020-02-08
EQP-0311,Forklift,FO942,Caterpillar,SIT-0005,In Transit,Diesel,2015-08-03,2016-01-30,2016-07-28
EQP-0489,Crusher,CR102,Liebherr,SIT-0004,Under Maintenance,Electric,2024-01-09,2024-01-09,2024-07-07
EQP-0367,Excavator,EX802,Atlas Copco,SIT-0006,Active,Hybrid,2024-07-22,2025-01-18,2025-07-17
EQP-0598,Bulldozer,BU530,Atlas Copco,SIT-0009,In Transit,Electric,2021-05-06,2021-05-06,2021-11-02
EQP-0914,Forklift,FO260,Atlas Copco,SIT-0006,Under Maintenance,Electric,2023-03-30,2023-09-26,2024-03-24
EQP-0930,Excavator,EX731,Scania,SIT-0005,In Transit,Electric,2020-05-01,2020-10-28,2021-04-26
EQP-0224,Mobile Crane,MC262,kenworth,SIT-0007,Active,Hybrid,2018-12-15,2018-12-15,2019-06-13
EQP-0517,Haul Truck,HT731,Sandvik,SIT-0009,Decommissioned,Hybrid,2022-09-13,2022-09-13,2023-03-12
EQP-0143,Haul Truck,HT157,Atlas Copco,SIT-0006,Active,Hybrid,2022-05-26,2022-11-22,2023-05-21
EQP-0289,Bulldozer,BU642,Hyundai,SIT-0001,Under Maintenance,Electric,2022-03-19,2022-03-19,2022-09-15
EQP-0144,Wheel Loader,WL213,Sandvik,SIT-0002,In Transit,Hybrid,2023-10-27,2024-04-24,2024-10-21
EQP-0774,Conveyor,CO902,Scania,SIT-0001,Decommissioned,Hybrid,2017-04-20,2017-10-17,2018-04-15
