InvoiceId,InvoiceDate,DueDate,PaymentTerms,PaymentDate,PaymentStatus,ClientId,OreType,OreGrade,QuantityTonnes,UnitPrice,InvoiceAmount,CurrencyCode
INV-012624,2025-07-08,2025-08-22,45D,,Unpaid,CLI-0001,Coal,Low,236,68,16048,GBP
INV-013782,2025-08-26,2025-10-10,45D,,Overdue,CLI-0002,Coal,Medium,655,67,43885,GBP
INV-001327,2025-02-25,2025-04-11,45D,,Unpaid,CLI-0007,Iron,Low,459,89,40851,AUD
INV-008485,2025-09-08,2025-10-08,30D,2025-09-11,Paid,CLI-0004,Coal,Medium,239,75,17925,GBP
INV-016754,2025-04-27,2025-06-11,45D,2025-05-31,Paid,CLI-0001,Coal,Low,26,64,1664,USD
INV-015923,2025-09-02,2025-10-02,30D,,Overdue,CLI-0004,Coal,Low,473,88,41624,CAD
INV-013269,2025-07-17,2025-08-31,45D,2025-09-04,Paid,CLI-0003,Gold,Low,163,98,15974,USD
INV-009939,2025-03-02,2025-04-16,45D,2025-03-29,Paid,CLI-0002,Coal,High,187,97,18139,CAD
INV-015618,2025-02-27,2025-04-13,45D,,Unpaid,CLI-0002,Coal,Low,660,99,65340,CAD
INV-011733,2025-03-09,2025-04-23,45D,2025-04-17,Paid,CLI-0014,Coal,Medium,317,71,22507,CAD
INV-019117,2025-01-21,2025-03-07,45D,,Overdue,CLI-0003,Diamond,Medium,206,94,19364,GBP
INV-007158,2025-08-07,2025-09-06,30D,,Overdue,CLI-0017,Coal,Medium,234,92,21528,GBP
INV-016538,2025-03-30,2025-04-29,30D,2025-05-05,Paid,CLI-0005,Coal,Medium,451,63,28413,CAD
INV-004564,2025-10-22,2025-11-21,30D,,Unpaid,CLI-0009,Coal,High,812,56,45472,EUR
INV-009236,2025-10-25,2025-11-24,30D,,Overdue,CLI-0013,Iron,Medium,749,90,67410,USD
INV-004580,2025-06-21,2025-08-05,45D,2025-07-29,Paid,CLI-0004,Coal,Medium,468,55,25740,USD
INV-003108,2025-04-24,2025-05-24,30D,,Unpaid,CLI-0004,Coal,High,320,55,17600,AUD
INV-008209,2025-05-11,2025-06-10,30D,,Unpaid,CLI-0001,Gold,Low,640,86,55040,GBP
INV-017452,2025-01-20,2025-03-06,45D,2025-02-13,Paid,CLI-0004,Nickel,High,586,94,55084,AUD
INV-019724,2025-09-17,2025-11-01,45D,,Unpaid,CLI-0002,Coal,Low,902,72,64944,GBP
INV-004816,2025-09-01,2025-10-16,45D,,Unpaid,CLI-0003,Coal,Medium,284,79,22436,AUD
INV-010163,2025-03-01,2025-04-15,45D,,Overdue,CLI-0001,Manganese,High,144,54,7776,EUR
INV-003237,2025-06-21,2025-07-21,30D,,Unpaid,CLI-0003,Coal,High,664,70,46480,USD
INV-002417,2025-06-14,2025-07-29,45D,,Overdue,CLI-0001,Gold,Low,877,50,43850,AUD
INV-010820,2025-08-11,2025-09-10,30D,,Overdue,CLI-0004,Coal,Low,293,57,16701,EUR
INV-015472,2025-07-19,2025-09-02,45D,,Overdue,CLI-0009,Copper,High,860,98,84280,AUD
INV-018344,2025-04-01,2025-05-16,45D,2025-05-15,Paid,CLI-0003,Iron,High,882,100,88200,EUR
INV-003300,2025-05-17,2025-07-01,45D,2025-05-22,Paid,CLI-0001,Coal,Low,200,95,19000,USD
INV-011594,2025-07-11,2025-08-25,45D,,Overdue,CLI-0002,Coal,Medium,716,95,68020,EUR
