ExtractionId,SiteId,OreType,OreGrade,ExtractionDate,ShiftType,EquipmentId,QuantityTonnes,ExtractionMethod
EXT-012624,SIT-0003,Coal,Medium,2025-07-11,Overnight,EQP-0866,391,Sublevel Stoping
EXT-013782,SIT-0003,Coal,Medium,2025-12-14,Overnight,EQP-0751,539,Room and Pillar
EXT-001327,SIT-0004,Coal,Medium,2025-02-26,Daytime,EQP-0828,191,Room and Pillar
EXT-008485,SIT-0003,Coal,Medium,2025-05-06,Evening,EQP-0719,322,Longwall
EXT-016754,SIT-0002,Coal,Medium,2025-03-08,Daytime,EQP-0740,257,Longwall
EXT-015923,SIT-0004,Coal,Medium,2025-03-16,Overnight,EQP-0337,306,Drift and Fill
EXT-013269,SIT-0002,Iron,Medium,2025-03-02,Overnight,EQP-0860,341,Open-pit
EXT-009939,SIT-0003,Silver,High,2025-11-24,Overnight,EQP-0343,884,Sublevel Stoping
EXT-015618,SIT-0002,Coal,Low,2025-05-31,Overnight,EQP-0303,575,Room and Pillar
EXT-011733,SIT-0001,Coal,High,2025-07-21,Evening,EQP-0155,562,Auger Mining
EXT-019117,SIT-0003,Silver,Medium,2025-04-04,Daytime,EQP-0213,190,Drift and Fill
EXT-007158,SIT-0001,Coal,High,2025-02-19,Evening,EQP-0346,168,Drift and Fill
EXT-016538,SIT-0002,Coal,Medium,2025-07-22,Daytime,EQP-0483,602,Drift and Fill
EXT-004564,SIT-0003,Coal,Low,2025-01-28,Overnight,EQP-0184,276,Longwall
EXT-009236,SIT-0005,Nickel,Medium,2025-09-29,Overnight,EQP-0295,359,Open-pit
EXT-004580,SIT-0003,Silver,High,2025-06-01,Evening,EQP-0928,969,Top Slicing
EXT-003108,SIT-0003,Copper,Medium,2025-08-25,Evening,EQP-0959,640,Borehole Mining
EXT-008209,SIT-0001,Coal,Medium,2025-04-22,Overnight,EQP-0977,742,Underground
EXT-017452,SIT-0001,Coal,Medium,2025-07-11,Overnight,EQP-0468,779,Underground
EXT-019724,SIT-0002,Coal,High,2025-04-06,Overnight,EQP-0392,124,Room and Pillar
EXT-004816,SIT-0002,Gold,Medium,2025-08-24,Evening,EQP-0642,110,Room and Pillar
