ShiftId,EmployeeId,SiteId,ShiftType,ShiftStartedAt,ShiftEndedAt,ShiftDurationHours,ExpectedProductiveHours,ActualProductiveHours
SHF-012624,EMP-0382,SIT-0007,Attended,2025-12-12 14:00:00,2025-12-12 17:00:00,3.0,2.31,2.2800000000000002
SHF-013782,EMP-0177,SIT-0006,Unplanned,2025-11-02 19:00:00,2025-11-03 00:00:00,5.0,4.050000000000001,4.1
SHF-001327,EMP-0263,SIT-0005,Attended,2025-02-13 15:00:00,2025-02-13 21:00:00,6.0,3.5999999999999996,3.7199999999999998
SHF-008485,EMP-0104,SIT-0003,Unplanned,2025-05-13 01:00:00,2025-05-13 09:00:00,8.0,6.88,7.2
SHF-016754,EMP-0227,SIT-0009,Attended,2025-10-22 01:00:00,2025-10-22 07:00:00,6.0,4.38,4.199999999999999
SHF-015923,EMP-0054,SIT-0009,Attended,2025-05-15 03:00:00,2025-05-15 11:00:00,8.0,4.96,7.12
SHF-013269,EMP-0207,SIT-0010,Attended,2025-01-14 15:00:00,2025-01-14 22:00:00,7.0,5.18,5.32
SHF-009939,EMP-0442,SIT-0007,Attended,2025-11-29 05:00:00,2025-11-29 08:00:00,3.0,1.8900000000000001,2.16
SHF-015618,EMP-0426,SIT-0004,Attended,2025-07-10 00:00:00,2025-07-10 08:00:00,8.0,6.16,6.08
SHF-011733,EMP-0335,SIT-0006,Attended,2025-10-26 23:00:00,2025-10-27 06:00:00,7.0,4.48,4.62
SHF-019117,EMP-0494,SIT-0008,Attended,2025-03-18 04:00:00,2025-03-18 07:00:00,3.0,2.34,2.82
SHF-007158,EMP-0358,SIT-0009,Attended,2025-12-14 07:00:00,2025-12-14 11:00:00,4.0,3.8,3.44
SHF-016538,EMP-0363,SIT-0002,Attended,2025-02-21 17:00:00,2025-02-22 01:00:00,8.0,6.8,5.04
SHF-004564,EMP-0480,SIT-0008,Attended,2025-04-09 10:00:00,2025-04-09 16:00:00,6.0,4.68,4.4399999999999995
SHF-009236,EMP-0341,SIT-0001,Unplanned,2025-11-29 12:00:00,2025-11-29 20:00:00,8.0,4.88,7.36
SHF-004580,EMP-0033,SIT-0003,Attended,2025-02-16 10:00:00,2025-02-16 16:00:00,6.0,5.5200000000000005,4.86
SHF-003108,EMP-0257,SIT-0003,Attended,2025-03-22 18:00:00,2025-03-22 22:00:00,4.0,3.68,3.8
SHF-008209,EMP-0344,SIT-0007,Attended,2025-09-20 16:00:00,2025-09-20 23:00:00,7.0,5.46,5.88
SHF-017452,EMP-0320,SIT-0010,Attended,2025-07-10 16:00:00,2025-07-11 00:00:00,8.0,6.96,6.0
SHF-019724,EMP-0142,SIT-0007,Attended,2025-01-18 20:00:00,2025-01-19 04:00:00,8.0,6.0,6.0
SHF-004816,EMP-0345,SIT-0005,Unplanned,2025-04-18 19:00:00,2025-04-19 00:00:00,5.0,4.35,4.6000000000000005
SHF-010163,EMP-0472,SIT-0006,Attended,2025-03-11 02:00:00,2025-03-11 05:00:00,3.0,2.8499999999999996,2.2800000000000002
SHF-003237,EMP-0012,SIT-0010,Missed,2025-06-28 05:00:00,2025-06-28 11:00:00,6.0,3.9000000000000004,3.5999999999999996
SHF-002417,EMP-0413,SIT-0005,Attended,2025-03-14 14:00:00,2025-03-14 21:00:00,7.0,5.46,6.02
SHF-010820,EMP-0266,SIT-0006,Attended,2025-09-24 05:00:00,2025-09-24 11:00:00,6.0,4.68,4.74
SHF-015472,EMP-0162,SIT-0010,Attended,2025-12-16 18:00:00,2025-12-16 22:00:00,4.0,2.4,3.32
SHF-018344,EMP-0091,SIT-0007,Unplanned,2025-11-09 18:00:00,2025-11-10 02:00:00,8.0,5.76,6.24
SHF-003300,EMP-0115,SIT-0008,Attended,2025-04-20 00:00:00,2025-04-20 05:00:00,5.0,3.4000000000000004,3.7
SHF-011594,EMP-0214,SIT-0009,Attended,2025-06-11 07:00:00,2025-06-11 12:00:00,5.0,4.5,4.4
SHF-014227,EMP-0344,SIT-0006,Missed,2025-04-15 14:00:00,2025-04-15 17:00:00,3.0,1.83,1.8900000000000001
SHF-010362,EMP-0259,SIT-0005,Attended,2025-01-07 22:00:00,2025-01-08 01:00:00,3.0,2.67,1.8900000000000001
